TimeStamp,Confidence,NOSE_X,NOSE_Y,LEFT_EYE_X,LEFT_EYE_Y,RIGHT_EYE_X,RIGHT_EYE_Y,LEFT_EAR_X,LEFT_EAR_Y,RIGHT_EAR_X,RIGHT_EAR_Y,LEFT_SHOULDER_X,LEFT_SHOULDER_Y,RIGHT_SHOULDER_X,RIGHT_SHOULDER_Y,LEFT_ELBOW_X,LEFT_ELBOW_Y,RIGHT_ELBOW_X,RIGHT_ELBOW_Y,LEFT_WRIST_X,LEFT_WRIST_Y,RIGHT_WRIST_X,RIGHT_WRIST_Y,LEFT_HIP_X,LEFT_HIP_Y,RIGHT_HIP_X,RIGHT_HIP_Y,LEFT_KNEE_X,LEFT_KNEE_Y,RIGHT_KNEE_X,RIGHT_KNEE_Y,LEFT_ANKLE_X,LEFT_ANKLE_Y,RIGHT_ANKLE_X,RIGHT_ANKLE_Y
1652878187080,0.7079083,0.36132756,0.2292574,0.35800844,0.21364485,0.36132756,0.21364485,0.3911996,0.19490978,0.38788047,0.19803229,0.45094362,0.21364485,0.4177525,0.2667275,0.43434805,0.31668767,0.4210716,0.33230025,0.36464667,0.36040282,0.36464667,0.36352533,0.5538361,0.410363,0.4974112,0.43222058,0.5704317,0.5758561,0.5140068,0.563366,0.62021834,0.74447167,0.54055965,0.70700145
1652878187170,0.7251456,0.3652598,0.23245317,0.36189607,0.21030186,0.36189607,0.21346633,0.38880578,0.19447951,0.38880578,0.19764398,0.44262522,0.20713739,0.40562436,0.2799202,0.43926153,0.31789386,0.3921695,0.3463741,0.37535092,0.3463741,0.35853234,0.36536092,0.5469004,0.41282797,0.49980843,0.42548582,0.5670826,0.5773804,0.52335435,0.5710515,0.6242659,0.73876834,0.54017293,0.7071237
1652878187287,0.68901813,0.36646593,0.22955969,0.35959727,0.21017423,0.36646593,0.21017423,0.3939406,0.19401969,0.39737493,0.19078879,0.45232427,0.20371242,0.41798094,0.26833054,0.42828396,0.31033233,0.39050624,0.37171954,0.34242558,0.33294868,0.30808225,0.38141227,0.54848564,0.41372135,0.50040495,0.42341405,0.5690917,0.5784976,0.52101094,0.56880486,0.6274753,0.7303502,0.53818256,0.71419567
1652878187368,0.66516936,0.3726121,0.22658265,0.36912942,0.20692445,0.3726121,0.20692445,0.393508,0.19054264,0.39699063,0.193819,0.45271307,0.20037173,0.41440392,0.2822808,0.42485183,0.301939,0.40395597,0.36091352,0.34475085,0.32159716,0.32037228,0.35436082,0.54326206,0.40678263,0.5014702,0.43626988,0.56415796,0.57060075,0.5328141,0.57715356,0.6268458,0.7311426,0.5362967,0.71476084
1652878187497,0.6599746,0.37668845,0.2204329,0.36952242,0.20357904,0.37668845,0.20694982,0.4017695,0.1833544,0.4017695,0.19009595,0.4519316,0.20694982,0.44118255,0.24065752,0.4161015,0.2945899,0.4161015,0.34515148,0.32652634,0.31481454,0.39460346,0.38223,0.5450897,0.4058254,0.50567675,0.41593772,0.56658775,0.57099324,0.5020937,0.5676225,0.62033284,0.7327903,0.5415067,0.69571185
1652878187618,0.7437997,0.38446483,0.2223568,0.37455207,0.20370564,0.38446483,0.2099227,0.4042903,0.18194598,0.40759453,0.1850545,0.44724548,0.20370564,0.44394124,0.23168236,0.40759453,0.29074427,0.44394124,0.35913184,0.3547266,0.30939546,0.41420302,0.37467447,0.53315586,0.39954266,0.5067219,0.41819382,0.56289405,0.57361996,0.5265474,0.57361996,0.62237054,0.73837173,0.53646016,0.71350354
1652878187740,0.6599746,0.3895576,0.22595207,0.38618648,0.20375183,0.3895576,0.2069233,0.41315565,0.18789451,0.41652676,0.19106598,0.45360944,0.20375183,0.45023826,0.23229502,0.41315565,0.28620988,0.4401248,0.36866796,0.352475,0.31158158,0.40641332,0.37818232,0.5378881,0.4003826,0.5041766,0.40989697,0.5513727,0.57164156,0.5244036,0.57164156,0.625538,0.7365577,0.534517,0.711186
1652878187848,0.6519463,0.39352047,0.22133197,0.390127,0.20536976,0.39352047,0.21175465,0.42066807,0.18940754,0.41727462,0.19259998,0.46138945,0.20536976,0.44102877,0.26921862,0.42066807,0.28518084,0.41388118,0.37137684,0.3392253,0.3171053,0.34261873,0.37776172,0.52925843,0.40968612,0.5021108,0.42245594,0.5564061,0.5725007,0.5326519,0.5661159,0.62766844,0.7353154,0.5394388,0.70019853
1652878187924,0.6779202,0.39414787,0.21497087,0.40097937,0.20211717,0.40097937,0.20533058,0.4317211,0.18283664,0.42488962,0.1924769,0.4590471,0.20533058,0.45563135,0.2471051,0.40781087,0.2888796,0.42488962,0.36600178,0.3429116,0.30173331,0.39414787,0.4109897,0.5307778,0.40777627,0.51028335,0.41420314,0.55127233,0.57808775,0.53760934,0.5716609,0.62300307,0.73875886,0.5410251,0.671277
1652878188013,0.75820327,0.4011518,0.21658772,0.40450808,0.20080033,0.40450808,0.20711529,0.4380709,0.18501297,0.42800206,0.19448538,0.46492115,0.20080033,0.46492115,0.23869005,0.40450808,0.28289473,0.4414272,0.3713041,0.3474513,0.29552466,0.3508076,0.3397293,0.53875935,0.39972138,0.50855285,0.40919384,0.5488282,0.5765401,0.52197796,0.5639102,0.6226663,0.7407289,0.53875935,0.70599663
